gpu_name,manufacturer,benchmark_score,non_gaming_reason
Quadro FX 3800,NVIDIA,780,Professional/Quadro
Quadro K420,NVIDIA,775,Professional/Quadro
Quadro 2000M,NVIDIA,773,Professional/Quadro
Quadro K1000M,NVIDIA,773,Professional/Quadro
Quadro K600,NVIDIA,769,Professional/Quadro
Quadro 1100M,NVIDIA,755,Professional/Quadro
NVS 510,Unknown,730,Embedded/ISV
GRID K140Q,Unknown,728,GRID/Virtual
Quadro K610M,NVIDIA,708,Professional/Quadro
Tesla K40m,NVIDIA,705,Datacenter/Tesla
Quadro FX 4700 X2,NVIDIA,676,Professional/Quadro
FirePro M7740,AMD,665,Professional/Quadro
Quadro 500M,NVIDIA,664,Professional/Quadro
FirePro V3900,AMD,662,Professional/Quadro
FireGL V7700,Unknown,660,Embedded/ISV
FireStream 9170,Unknown,647,Professional/Quadro
Matrox C420 LP PCIe x16,Unknown,635,Embedded/ISV
NVS 5400M,Unknown,635,Embedded/ISV
GRID K160Q,Unknown,628,GRID/Virtual
Quadro FX 3800M,NVIDIA,628,Professional/Quadro
FireGL V7600,Unknown,616,Embedded/ISV
Quadro K510M,NVIDIA,610,Professional/Quadro
Quadro 1000M,NVIDIA,599,Professional/Quadro
Quadro FX 5600,NVIDIA,562,Professional/Quadro
FireGL V8650,Unknown,550,Embedded/ISV
FirePro 3D V5700,AMD,547,Professional/Quadro
Quadro 600,NVIDIA,546,Professional/Quadro
FirePro 3D V7750,AMD,545,Professional/Quadro
Quadro FX 2700,NVIDIA,543,Professional/Quadro
GRID K180Q,Unknown,534,GRID/Virtual
NVS 5200M,Unknown,534,Embedded/ISV
Quadro K500M,NVIDIA,480,Professional/Quadro
FirePro 3D V3800,AMD,472,Professional/Quadro
Quadro FX 1800M,NVIDIA,469,Professional/Quadro
Quadro FX 3600M,NVIDIA,467,Professional/Quadro
Quadro FX 3700M,NVIDIA,467,Professional/Quadro
FirePro V5700,AMD,465,Professional/Quadro
Qualcomm Adreno 680 GPU,Qualcomm,449,Mobile SoC
Quadro FX 4600,NVIDIA,437,Professional/Quadro
Quadro 410,NVIDIA,436,Professional/Quadro
Quadro FX 2800M,NVIDIA,433,Professional/Quadro
FirePro M2000,AMD,406,Professional/Quadro
Quadro FX 1800,NVIDIA,405,Professional/Quadro
Quadro FX 3700,NVIDIA,384,Professional/Quadro
Matrox Millennium P690 PCIe x16,Unknown,367,Embedded/ISV
Quadro FX 2700M,NVIDIA,358,Professional/Quadro
FireGL V5600,Unknown,341,Embedded/ISV
FirePro 3D V3750,AMD,341,Professional/Quadro
FirePro RG220,AMD,335,Professional/Quadro
FirePro V3800,AMD,332,Professional/Quadro
Quadro FX 3500M,NVIDIA,306,Professional/Quadro
GRID K120Q,Unknown,293,GRID/Virtual
Quadro FX 3500,NVIDIA,292,Professional/Quadro
NVS 315,Unknown,286,Embedded/ISV
Mobile Intel HD,Intel,285,Integrated/Legacy
Qualcomm Adreno 630 GPU,Qualcomm,268,Mobile SoC
NVS 4200M,Unknown,257,Embedded/ISV
Quadro NVS 510M,NVIDIA,254,Professional/Quadro
NVS 310,Unknown,242,Embedded/ISV
Quadro FX 5500,NVIDIA,242,Professional/Quadro
Quadro FX 4500 X2,NVIDIA,236,Professional/Quadro
Quadro FX 4500,NVIDIA,226,Professional/Quadro
Mobility FireGL V5725,Unknown,219,Embedded/ISV
Quadro FX 880M,NVIDIA,219,Professional/Quadro
Quadro FX 2500M,NVIDIA,218,Professional/Quadro
Barco MXRT 1450,Unknown,206,Embedded/ISV
Quadro NVS 290,NVIDIA,205,Professional/Quadro
Quadro FX 770M,NVIDIA,198,Professional/Quadro
NVS 5100M,Unknown,190,Embedded/ISV
Quadro FX 1500,NVIDIA,190,Professional/Quadro
Quadro FX 1600M,NVIDIA,186,Professional/Quadro
Quadro FX 3450/4000 SDI,NVIDIA,186,Professional/Quadro
Quadro FX 380,NVIDIA,186,Professional/Quadro
Barco MXRT 7100,Unknown,180,Embedded/ISV
FireGL V3600,Unknown,180,Embedded/ISV
FirePro 3D V3700,AMD,179,Professional/Quadro
Quadro FX 1700M,NVIDIA,173,Professional/Quadro
Quadro FX 1500M,NVIDIA,171,Professional/Quadro
FirePro 2460,AMD,170,Professional/Quadro
Quadro FX 570,NVIDIA,156,Professional/Quadro
Quadro FX 580,NVIDIA,155,Professional/Quadro
Quadro FX 3450,NVIDIA,149,Professional/Quadro
FirePro 2270,AMD,147,Professional/Quadro
Quadro 400,NVIDIA,146,Professional/Quadro
S3 5400EW,Unknown,145,Integrated/Legacy
Q45/Q43 Express Chipset,Intel,142,Integrated/Legacy
NVS 2100M,Unknown,139,Embedded/ISV
Quadro FX 380 LP,NVIDIA,136,Professional/Quadro
FireGL V7300,Unknown,128,Embedded/ISV
Quadro NVS 320M,NVIDIA,128,Professional/Quadro
Quadro FX 1400,NVIDIA,124,Professional/Quadro
Quadro FX 380M,NVIDIA,124,Professional/Quadro
Matrox G200e WDDM 2.0,Unknown,123,Embedded/ISV
Qualcomm Adreno 540 GPU,Qualcomm,120,Mobile SoC
Qualcomm Adreno 618 GPU,Qualcomm,120,Mobile SoC
Quadro FX 1700,NVIDIA,118,Professional/Quadro
FireMV 2260,Unknown,117,Embedded/ISV
Mobile Intel 45 Express Chipsatzfamilie,Intel,117,Integrated/Legacy
FireGL V7200,Unknown,116,Embedded/ISV
FireGL V5200,Unknown,115,Embedded/ISV
NVS 3100M,Unknown,115,Embedded/ISV
NVS 300,Unknown,114,Embedded/ISV
Quadro FX 560,NVIDIA,114,Professional/Quadro
FirePro 2260,AMD,113,Professional/Quadro
FireGL V7350,Unknown,111,Embedded/ISV
Quadro FX 570M,NVIDIA,111,Professional/Quadro
Quadro FX 370 LP,NVIDIA,108,Professional/Quadro
Quadro FX 3400/4400,NVIDIA,104,Professional/Quadro
FireGL V3400,Unknown,103,Embedded/ISV
Quadro FX 370 Low Profile,NVIDIA,103,Professional/Quadro
Quadro FX Go1400,NVIDIA,102,Professional/Quadro
Quadro FX 4000,NVIDIA,101,Professional/Quadro
Quadro NVS 130M,NVIDIA,97,Professional/Quadro
Matrox G200eW3 WDDM 2.0,Unknown,94,Embedded/ISV
FireGL V5100,Unknown,93,Embedded/ISV
Quadro FX 370M,NVIDIA,93,Professional/Quadro
Quadro NVS 150M,NVIDIA,93,Professional/Quadro
Quadro FX 360M,NVIDIA,87,Professional/Quadro
Quadro FX 350,NVIDIA,86,Professional/Quadro
FireGL V3200,Unknown,85,Embedded/ISV
Quadro FX 370,NVIDIA,84,Professional/Quadro
G41 Express Chipset,Intel,83,Integrated/Legacy
MOBILITY FireGL V5000,Unknown,82,Embedded/ISV
Quadro FX 540,NVIDIA,81,Professional/Quadro
Quadro NVS 160M,NVIDIA,76,Professional/Quadro
G45/G43 Express Chipset,Intel,75,Integrated/Legacy
Quadro NVS 295,NVIDIA,75,Professional/Quadro
FireMV 2450,Unknown,74,Embedded/ISV
FireGL V7100,Unknown,72,Embedded/ISV
FireGL V3300,Unknown,71,Embedded/ISV
Quadro NVS 420,NVIDIA,70,Professional/Quadro
FireGL V3350,Unknown,69,Embedded/ISV
Quadro FX 3000,NVIDIA,69,Professional/Quadro
B43 Express Chipset,Intel,68,Integrated/Legacy
G45/G43/G41 Express Chipset,Intel,68,Integrated/Legacy
Matrox G200eR WDDM 2.0,Unknown,68,Embedded/ISV
Quadro NVS 135M,NVIDIA,67,Professional/Quadro
Quadro FX 550,NVIDIA,64,Professional/Quadro
Quadro NVS 450,NVIDIA,64,Professional/Quadro
MOBILITY FireGL V3200,Unknown,62,Embedded/ISV
FireGL X1,Unknown,59,Embedded/ISV
Matrox G200e WDDM 1.2,Unknown,59,Embedded/ISV
Express Chipset Q45/Q43,Intel,58,Integrated/Legacy
Mobile Intel 965 Express,Intel,58,Integrated/Legacy
Express Chipset G41,Intel,57,Integrated/Legacy
G41 Express Chipsatz,Intel,57,Integrated/Legacy
