gpu_name,benchmark_score,tier
GTX 460 SE,1974,A
Iris Xe MAX,1973,A
GTX 765M,1972,A
R7 450,1966,A
HD 5850,1966,A
R9 M275X,1963,A
R7 + HD 7700 Dual,1962,A
UHD ReleaseInternal,1959,A
550,1959,A
HD 7660D + HD 7700 Dual,1958,A
GTX 470M,1953,A
Quadro K4000M,1949,A
FirePro M6100,1945,A
945M,1945,A
Pro WX 4150,1935,A
GTX 675M,1934,A
R9 M385X,1929,A
RX 570X,1923,A
HD 7560D + 7700 Dual,1919,A
GTX 570M,1910,A
GTX 670MX,1906,A
Matrox C680 PCIe x16,1904,A
HD 7700 serie,1899,A
MX130,1895,A
HD 8670D + HD 7700 Dual,1892,A
Quadro 5010M,1891,A
MX230,1884,A
Pro WX 4130,1881,A
FirePro 3D V7800,1867,A
GTX 645,1858,A
945A,1852,A
Iris Plus,1850,A
Vega 11,1847,A
R9 M375X,1843,A
FirePro M5100 FireGL V,1839,A
HD 8570D + HD 7700 Dual,1835,A
MxGPU,1826,A
FirePro M6000,1820,A
Matrox C900 PCIe x16,1812,A
RadeonT RX 560X,1810,A
GTX 555,1807,A
RadeonT 540X,1804,A
RX Vega 11 Processor,1800,A
HD 8870M / R9 M270X / M370X,1800,A
Embedded Radeon E9173,1798,A
Iris 650,1795,A
RX 540,1793,A
HD 8670D + 7700 Dual,1789,A
UHD 750,1775,A
GTX 670M,1775,A
Iris Plus 655,1772,A
GTX 650,1769,A
Pro WX 2100,1755,A
R9 M360,1753,A
FirePro W600,1752,A
UHD P750,1744,A
Iris Plus 645,1742,A
HD 5830,1735,A
RX Vega11,1717,A
HD 6900M,1710,A
FirePro M6000 Mobility Pro,1709,A
HD 7750,1696,A
RX Vega 10,1694,A
GTX 760M,1691,A
Qualcomm Adreno 8cx Gen 3,1670,A
Vega 9,1669,A
R7 M380,1669,A
Iris Pro P6300,1654,A
HD HD7850M,1652,A
HD 8870M,1638,A
Quadro K3000M,1626,A
E8860,1626,A
R7 M465X,1624,A
Quadro K2000D,1614,A
Quadro P400,1614,A
HD 6790,1613,A
GT 755M,1610,A
Seria Radeon HD 7700,1604,A
FirePro M4000,1597,A
Vega 8,1593,A
FirePro M4000 Mobility Pro,1591,A
UHD,1582,A
Iris Plus 650,1575,A
R9 M275X / M375,1575,A
Quadro K2000,1567,A
RadeonT RX 640,1565,A
GTX 550 Ti,1557,A
Vega 10,1557,A
Firepro W5170M,1555,A
