canonical_name,benchmark_score,tier
AMD Ryzen 7 PRO 1700X,15530,A
Intel Xeon E5-2680 v3,15522,A
AMD Ryzen 7 PRO 4750U,15511,A
AMD Ryzen 7 1700X,15496,A
Intel Xeon Gold 5217,15429,A
Intel Core i7-10875H,15426,A
Intel Xeon Gold 5215,15420,A
Intel Xeon E5-4667 v3,15397,A
AMD Ryzen 5 PRO 5650U,15373,A
Intel Core i5-11260H,15313,A
Intel Core i7-11700T,15271,A
Intel Core i5-11600T,15254,A
Intel Xeon E-2278GE,15252,A
Intel Xeon E-2286M,15249,A
Intel Xeon Silver 4214Y,15248,A
AMD Ryzen 5 5600U,15241,A
Intel Xeon Silver 4116T,15187,A
Intel Xeon Silver 4215R,15147,A
Intel Core i9-10900T,15134,A
Intel Xeon D-2166NT,15105,A
AMD Ryzen 5 5625U,15099,A
Intel Core i9-10880H,15064,A
AMD Ryzen 7 PRO 2700,15059,A
Intel Xeon E5-2660 v4,15038,A
Intel Xeon Silver 4210R,15030,A
Intel Core i7-10870H,15027,A
AMD EPYC 7301,14991,A
Intel Core i3-12300,14955,A
AMD EPYC 7251,14935,A
Intel Xeon Silver 4116,14931,A
Intel Xeon W-1250P,14924,A
Intel Xeon E5-2699A v4,14917,A
Intel Xeon E5-2658A v3,14879,A
Intel Xeon E5-2683 v3,14829,A
Intel Xeon E5-1681 v3,14820,A
Intel Xeon E5-2687W v3,14812,A
AMD Ryzen 5 PRO 4400GE,14795,A
AMD Ryzen 5 4600HS,14735,A
AMD Ryzen 5 4600H,14735,A
Intel Core i9-9980HK,14728,A
Apple M1 8 Core 3200 MHz,14694,A
Intel Xeon E5-2678 v3,14682,A
AMD Ryzen 7 2700E,14657,A
AMD Ryzen 7 1700,14628,A
AMD Ryzen 7 PRO 1700,14590,A
Intel Core i5-10600KF,14575,A
Intel Core i7-9700K,14550,A
Intel Core i7-8086K,14550,A
Intel Xeon E5-2676 v3,14537,A
Intel Core i5-10600K,14534,A
Intel Core i3-12100,14503,A
Intel Core i7-9700KF,14499,A
Intel Core i3-12100F,14490,A
Intel Xeon Silver 4215,14439,A
Intel Xeon E5-2658 v4,14434,A
Intel Xeon Silver 4123,14405,A
Intel Xeon E-2286G,14384,A
Intel Xeon W-2235,14332,A
Intel Xeon E-2236,14307,A
Intel Core i7-6900K,14291,A
Intel Xeon Silver 4210,14285,A
Intel Xeon Gold 6128,14273,A
Intel Xeon E5-4660 v3,14256,A
AMD Ryzen 5 PRO 5675U,14253,A
Intel Xeon E5-2697 v2,14218,A
Intel Xeon E5-2696 v2,14206,A
Intel Xeon E5-1680 v4,14120,A
Intel Xeon E5-2673 v3,14112,A
Intel Xeon W-2135,14109,A
Intel Xeon E-2374G,14086,A
AMD Ryzen 5 2600X,14053,A
Intel Xeon E-2246G,14050,A
Intel Core i9-9880H,13979,A
AMD Ryzen 3 PRO 5350G,13976,A
AMD EPYC 3251,13965,A
Intel Core i9-9900T,13947,A
Intel Core i5-10600,13928,A
Intel Xeon E5-2670 v3,13917,A
Intel Xeon E-2186G,13909,A
Intel Core i7-8700K,13850,A
Intel Xeon E5-2667 v4,13846,A
AMD Ryzen 3 5300GE,13843,A
Intel Core i5-11500T,13820,A
Intel Xeon W-1250,13799,A
AMD Ryzen 3 PRO 5350GE,13707,A
AMD Ryzen 7 4700U,13648,A
Intel Xeon E-2176G,13643,A
Intel Xeon W-1270TE,13553,A
Intel Xeon E5-2695 v2,13521,A
Intel Xeon E5-2650 v4,13489,A
Intel Xeon E5-2658 v3,13487,A
Intel Xeon E5-2690 v2,13481,A
Intel Core i7-9700F,13462,A
AMD Ryzen 5 4600U,13460,A
Intel Core i7-9700,13385,A
Intel Xeon E-2276G,13371,A
Intel Xeon E-2136,13356,A
Intel Xeon E-2146G,13351,A
Intel Xeon E5-1660 v4,13340,A
AMD Ryzen 5 3500X,13319,A
AMD Ryzen 5 PRO 2600,13250,A
Intel Xeon E5-1680 v3,13214,A
AMD Ryzen 5 2600,13195,A
AMD Ryzen 5 5500U,13190,A
Intel Xeon E-2334,13189,A
Intel Xeon Silver 4114,13169,A
Intel Xeon E5-2660 v3,13146,A
AMD Ryzen 3 5300G,13139,A
Intel Core i7-10700T,13119,A
Intel Xeon D-2143IT,13107,A
Intel Core i5-11400T,13078,A
Intel Core i5-10500,13056,A
Intel Core i7-8700,13046,A
Intel Xeon E5-4627 v4,12969,A
Intel Xeon W-10855M,12955,A
Intel Xeon E5-2685 v3,12944,A
AMD Ryzen 5 1600X,12943,A
AMD Ryzen 5 PRO 4650U,12889,A
Intel Core i7-7800X,12864,A
AMD Ryzen 5 3500,12836,A
Intel Xeon E5-2618L v4,12816,A
Intel Core i3-12100T,12767,A
AMD Ryzen 3 3300X,12746,A
Intel Core i7-5960X,12719,A
Intel Xeon E5-2680 v2,12530,A
Intel Xeon E5-1680 v2,12503,A
Intel Xeon E5-4657L v2,12495,A
Intel Core i5-10400F,12439,A
Intel Xeon W-2133,12438,A
Intel Xeon E5-2649 v3,12399,A
Intel Core i7-11375H,12383,A
Intel Xeon E5-1660 v3,12360,A
Intel Core i7-10750H,12355,A
Intel Xeon E5-2667 v3,12354,A
Intel Core i7-1265U,12334,A
Intel Core i5-10400,12320,A
AMD Ryzen 5 1600,12314,A
Intel Core i7-8700B,12239,A
Intel Core i7-9700E,12239,A
AMD Ryzen 3 PRO 5475U,12230,A
Intel Xeon E5-2667 v2,12222,A
Intel Core i5-10505,12221,A
Intel Xeon D-2141I,12177,A
Intel Core i7-10850H,12124,A
Intel Xeon E5-2692 v2,12119,A
Intel Core i7-11370H,12098,A
Intel Xeon E5-2687W v2,12083,A
AMD Ryzen 5 PRO 4500U,12049,A
Intel Xeon E-2278GEL,12024,A
Intel Xeon E5-2675 v3,11960,A
Intel Xeon E5-2640 v4,11950,A
Intel Core i5-1245U,11934,A
Intel Xeon E5-2650 v3,11931,A
Intel Xeon E5-2673 v2,11919,A
AMD Ryzen 3 5400U,11839,A
Intel Xeon E5-2650L v3,11820,A
Intel Xeon E-2276M,11818,A
Intel Xeon E5-2663 v3,11777,A
Intel Xeon D-2146NT,11736,A
Intel Xeon E5-2670 v2,11718,A
AMD Ryzen 3 3100,11660,A
Intel Xeon D-1577,11645,A
Intel Core i5-10500H,11604,A
Intel Xeon E5-2648L v4,11547,A
Intel Xeon E5-1650 v4,11534,A
Intel Xeon E5-4669 v4,11523,A
Intel Core i7-9850H,11483,A
AMD Ryzen 3 PRO 5450U,11453,A
Intel Xeon E5-2650L v4,11436,A
Intel Core i7-9750HF,11391,A
Intel Core i5-10600T,11376,A
Intel Xeon E5-2630 v4,11373,A
Intel Core i3-11100B,11357,A
Intel Xeon E5-4627 v3,11344,A
AMD Ryzen 3 4300GE,11332,A
AMD Ryzen 3 PRO 4200G,11315,A
Intel Core i7-6850K,11295,A
ARM Neoverse-N1 16 Core 0 MHz,11281,A
AMD Ryzen 3 PRO 4350GE,11270,A
Intel Core i7-9750H,11207,A
Intel Xeon E5-2640 v3,11205,A
Intel Xeon E5-2643 v4,11152,A
Intel Xeon Silver 4208,11137,A
Intel Core i5-1235U,11119,A
Intel Xeon E-2226G,11119,A
Intel Core i7-1185G7E,11114,A
AMD Ryzen 5 4500U,11098,A
Intel Xeon E5-2628L v4,11079,A
Intel Core i5-11300H,11048,A
Intel Core i7-1195G7,11019,A
Intel Core i7-1185G7,10948,A
Intel Xeon E-2176M,10946,A
AMD Ryzen 3 PRO 4200GE,10930,A
Intel Xeon E-2186M,10904,A
Intel Xeon E5-2470 v2,10902,A
Intel Core i7-11390H,10897,A
Intel Xeon E5-2630L v4,10864,A
Apple A12X Bionic,10845,A
Intel Xeon W-2225,10844,A
Intel Core i5-9600KF,10838,A
Intel Xeon E5-4650 v3,10838,A
AMD Ryzen 3 PRO 4350G,10833,A
Intel Core i7-9700TE,10826,A
Intel Core i9-8950HK,10803,A
Intel Core i5-9600K,10793,A
AMD Ryzen 3 4300G,10792,A
Intel Xeon E-2126G,10747,A
Intel Core i7-9700T,10736,A
Intel Core i5-11320H,10732,A
Intel Core i7-6800K,10681,A
Intel Core i7-1165G7,10595,A
Intel Core i5-1155G7,10561,A
Intel Xeon E5-4620 v3,10525,A
Intel Xeon D-1581,10476,A
Intel Xeon E5-2618L v3,10464,A
Intel Core i5-1145G7E,10454,A
Intel Core i7-8700T,10431,A
Intel Core i5-1145G7,10413,A
AMD Ryzen 5 PRO 1600,10401,A
Intel Xeon E5-2630 v3,10392,A
Intel Xeon E5-2643 v3,10391,A
Intel Xeon E5-2660 v2,10382,A
Intel Xeon E5-1650 v3,10373,A
Intel Xeon E5-4640 v3,10372,A
Intel Core i5-9600,10369,A
Intel Core i5-10500T,10365,A
Intel Xeon Silver 4109T,10348,A
Intel Core i7-8850H,10333,A
Intel Core i5-9500F,10330,A
Intel Core i7-1160G7,10316,A
Intel Core i3-10325,10308,A
Intel Core i7-5930K,10304,A
Intel Core i5-1140G7,10279,A
Intel Xeon E5-2658 v2,10274,A
AMD EPYC 3201,10258,A
Intel Xeon Silver 4110,10246,A
Intel Xeon E5-1660 v2,10223,A
Intel Core i5-8600K,10195,A
Intel Xeon D-1541,10170,A
AMD Ryzen 3 PRO 4450U,10129,A
Intel Core i7-10710U,10126,A
Intel Core i3-10320,10115,A
Intel Core i5-1135G7,10100,A
Intel Core i7-1068NG7,10093,A
Intel Core i7-8750H,10085,A
Intel Core i5-10400T,10052,A
AMD Ryzen 3 5300U,10046,A
Intel Xeon W-2125,10039,A
Intel Xeon D-1540,10028,A
Intel Xeon E5-2650 v2,9995,A
Intel Core i5-10500TE,9960,A
Intel Xeon E5-2628L v3,9949,A
Intel Core i3-1125G4,9932,A
Intel Core i7-4960X,9906,A
Intel Xeon E-2234,9903,A
Intel Core i7-7740X,9864,A
Intel Core i5-8600,9849,A
Intel Xeon E5-2648L v3,9847,A
Intel Xeon E5-2690,9832,A
Intel Xeon E-2244G,9826,A
Intel Core i7-5820K,9814,A
Intel Xeon E5-2687W,9796,A
Intel Xeon E5-2689,9767,A
Intel Core i5-1130G7,9756,A
Intel Core i5-9500,9698,A
Intel Core i3-10305,9689,A
AMD Ryzen 5 3350GE,9684,A
Intel Xeon E-2274G,9660,A
Intel Core i7-7700K,9658,A
AMD Ryzen 5 PRO 3350GE,9643,A
AMD Ryzen 3 5425U,9641,A
Intel Core i5-1038NG7,9626,A
Intel Xeon E-2174G,9596,A
Intel Core i5-8500,9576,A
Intel Core i5-9400F,9544,A
AMD Ryzen 5 PRO 3350G,9498,A
Intel Core i5-9400,9478,A
Intel Core i5-8500B,9429,A
Intel Xeon Gold 5222,9428,A
AMD Ryzen 5 PRO 1500,9402,A
AMD Ryzen 5 2500X,9384,A
Intel Xeon E5-4655 v3,9377,A
Intel Xeon E5-2680,9361,A
Intel Core i7-4930K,9360,A
AMD Ryzen 5 3400G,9331,A
Intel Xeon E5-1650 v2,9323,A
Intel Xeon E-2144G,9322,A
Intel Xeon E5-4627 v2,9320,A
AMD Ryzen 5 PRO 3400G,9307,A
Intel Core i3-10300,9284,A
Intel Xeon E3-1285 v6,9276,A
Intel Xeon Silver 4108,9262,A
Intel Xeon D-1567,9236,A
Intel Xeon E3-1275 v6,9229,A
Intel Xeon D-1587,9223,A
Intel Core i5-8400,9222,A
Intel Xeon E5-2651 v2,9216,A
Intel Core i5-9500TE,9212,A
Intel Xeon E3-1280 v6,9166,A
Intel Xeon E5-2620 v4,9152,A
Intel Core i7-1185GRE,9142,A
Intel Core i3-10105F,9141,A
Intel Xeon E5-2629 v3,9139,A
Intel Core i7-9850HL,9112,A
Intel Xeon D-1715TER,9104,A
AMD Ryzen 5 1500X,9083,A
Intel Xeon E5-2643 v2,9083,A
Intel Xeon D-1548,9075,A
AMD Ryzen 5 3350G,9067,A
Intel Xeon E5-4648 v3,9061,A
AMD Ryzen 5 3400GE,8985,A
Intel Xeon E5-2630L v3,8978,A
Intel Core i7-6700K,8967,A
Intel Core i3-10105,8928,A
Intel Core i5-10400H,8916,A
Intel Xeon E5-2670,8902,A
