canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
MediaTek MT6737M,MediaTek MT6737M,Unknown,355,4,,unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1300 MHz,ARM Cortex A7 4 Core 1300 MHz,Intel,354,4,,unknown,Unknown
AMD Sempron LE-1200,Sempron LE 1200,AMD,349,1,45.0,AM2,Desktop
Intel Core Duo T2400,Duo T2400,Intel,349,2,31.0,BGA479,Laptop
Intel Core Duo L2400,Duo L2400,Intel,348,2,15.0,BGA479,Laptop
Intel Pentium T2080,Pentium T2080,Intel,348,2,31.0,PGA478,Laptop
Intel Core Duo T2250,Duo T2250,Intel,347,2,31.0,PGA478,Laptop
ARM Cortex-A53 4 Core 1152 MHz,ARM Cortex A53 4 Core 1152 MHz,Intel,347,4,,unknown,Unknown
AMD Opteron 146,Opteron 146,AMD,346,1,67.0,939,Server
ARM Cortex-A7 4 Core 1368 MHz,ARM Cortex A7 4 Core 1368 MHz,Intel,346,4,,unknown,Unknown
Intel Core2 Duo U7700,Core2 Duo U7700,Intel,345,2,10.0,unknown,Laptop
ARM Cortex-A53 4 Core 1400 MHz,ARM Cortex A53 4 Core 1400 MHz,Intel,345,4,,unknown,Unknown
Intel Celeron 570,Celeron 570,Intel,344,1,31.0,PGA478,Laptop
Mobile Intel Pentium 4 3.33GHz,Mobile Intel Pentium 4 3.33GHz,Intel,344,1,,unknown,Laptop
"Qualcomm Technologies, Inc APQ8016","Qualcomm Technologies, Inc APQ8016",Unknown,343,4,,unknown,Mobile/Embedded
Intel 2.80GHz,2.80GHz,Intel,341,2,,unknown,Unknown
AMD Athlon 64 4000+,Athlon 64 4000+,AMD,340,1,62.0,AM2,Unknown
AMD Athlon 64 3200+,Athlon 64 3200+,AMD,340,1,62.0,AM2,Unknown
AMD Athlon TF-36,Athlon TF 36,AMD,338,1,25.0,unknown,Unknown
AMD Sempron M100,Sempron M100,AMD,338,1,,unknown,Unknown
AMD V160,V160,AMD,337,1,25.0,S1,Laptop
Qualcomm MSM8928,Qualcomm MSM8928,Unknown,337,4,,unknown,Mobile/Embedded
AMD Turion 64 Mobile ML-40,Turion 64 Mobile ML 40,AMD,336,1,35.0,754,Laptop
Intel Atom N570,Atom N570,Intel,335,2,8.5,BGA559,Laptop
Intel Celeron N2805,Celeron N2805,Intel,335,2,4.3,FCBGA1170,Laptop
Mobile AMD Sempron 3800+,Mobile AMD Sempron 3800+,AMD,335,1,,unknown,Laptop
ARM Cortex-A72 4 Core 1750 MHz,ARM Cortex A72 4 Core 1750 MHz,Intel,335,4,,unknown,Unknown
AMD Turion 64 Mobile ML-37,Turion 64 Mobile ML 37,AMD,334,1,35.0,754,Laptop
AMD Turion 64 Mobile MK-36,Turion 64 Mobile MK 36,AMD,334,1,31.0,S1,Laptop
ARM Cortex-A35 4 Core 1296 MHz,ARM Cortex A35 4 Core 1296 MHz,Intel,334,4,,unknown,Unknown
AMD Athlon 2850e,Athlon 2850e,AMD,333,1,22.0,AM2,Desktop
Mobile AMD Athlon 64 3400+,Mobile AMD Athlon 64 3400+,AMD,333,1,81.5,unknown,Laptop
MediaTek MT8167B,MediaTek MT8167B,Unknown,332,4,,unknown,Mobile/Embedded
Qualcomm MSM8228,Qualcomm MSM8228,Unknown,332,4,,unknown,Mobile/Embedded
Intel Core Duo T2300,Duo T2300,Intel,330,2,31.0,BGA479,Laptop
Intel Pentium T2060,Pentium T2060,Intel,330,2,31.0,PGA478,Laptop
MT8765WB,MT8765WB,Unknown,328,4,,unknown,Mobile/Embedded
